dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,kclAmmoniumNConc_mean_2018_2024,ammoniumNRepNum_mean_2018_2024,kclNitrateNitriteNConc_mean_2018_2024,nitrateNitriteNRepNum_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,kclAmmoniumNConc_mean_2018_2024_unit,ammoniumNRepNum_mean_2018_2024_unit,kclNitrateNitriteNConc_mean_2018_2024_unit,nitrateNitriteNRepNum_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_001,OAES_001.basePlot.bgc,38,0.11947368421052632,1.0526315789473684,0.10283783783783784,1.027027027027027,2020.5,2020.5,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_002,OAES_002.basePlot.bgc,38,0.11362162162162162,1.0810810810810811,0.12386486486486487,1.054054054054054,2020.5,2020.5,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_003,OAES_003.basePlot.bgc,38,0.14477777777777778,1,0.1710263157894737,1.0526315789473684,2020.6315789473683,2020.6315789473683,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_004,OAES_004.basePlot.bgc,39,0.19887179487179488,1.0769230769230769,0.1622894736842105,1.0526315789473684,2020.5641025641025,2020.5641025641025,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_007,OAES_007.basePlot.bgc,38,0.09294736842105264,1.0526315789473684,0.09802777777777777,1,2020.6315789473683,2020.6315789473683,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_009,OAES_009.basePlot.bgc,37,0.09880555555555555,1,0.10456756756756756,1.027027027027027,2020.5675675675675,2020.5675675675675,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_042,OAES_042.basePlot.bgc,38,0.12075675675675676,1.027027027027027,0.12589473684210525,1.0526315789473684,2020.6315789473683,2020.6315789473683,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_043,OAES_043.basePlot.bgc,37,0.10386486486486486,1.027027027027027,0.18727777777777777,1,2020.5675675675675,2020.5675675675675,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_044,OAES_044.basePlot.bgc,39,0.20489473684210527,1.0526315789473684,0.14552631578947367,1.0526315789473684,2020.5641025641025,2020.5641025641025,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,OAES_045,OAES_045.basePlot.bgc,39,0.1616578947368421,1.0526315789473684,0.16783783783783784,1.027027027027027,2020.6923076923076,2020.6923076923076,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,OAES,ntr_externalLab,2018-2024,OAES,NA,OAES,58,0.022508771929824565,1,0.04150909090909091,1.0172413793103448,2020.9310344827586,2020.9310344827586,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
