dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,kclAmmoniumNConc_mean_2018_2024,ammoniumNRepNum_mean_2018_2024,kclNitrateNitriteNConc_mean_2018_2024,nitrateNitriteNRepNum_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,kclAmmoniumNConc_mean_2018_2024_unit,ammoniumNRepNum_mean_2018_2024_unit,kclNitrateNitriteNConc_mean_2018_2024_unit,nitrateNitriteNRepNum_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_001,GUAN_001.basePlot.bgc,41,0.10585,1.1,1.1327179487179488,1.0769230769230769,2020.4878048780488,2020.4878048780488,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_002,GUAN_002.basePlot.bgc,38,0.46356756756756756,1.027027027027027,2.6752432432432434,1.027027027027027,2020.4473684210527,2020.4473684210527,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_003,GUAN_003.basePlot.bgc,38,0.4144473684210526,1.0526315789473684,3.490864864864865,1.027027027027027,2020.3684210526317,2020.3684210526317,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_004,GUAN_004.basePlot.bgc,37,0.415972972972973,1.027027027027027,2.988081081081081,1.027027027027027,2020.2972972972973,2020.2972972972973,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_006,GUAN_006.basePlot.bgc,41,0.24445945945945946,1.027027027027027,2.5974,1.1,2020.560975609756,2020.560975609756,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_007,GUAN_007.basePlot.bgc,34,0.42823529411764705,1,3.9828823529411763,1,2020.1764705882354,2020.1764705882354,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_042,GUAN_042.basePlot.bgc,38,0.35257894736842105,1.0526315789473684,4.518194444444444,1,2020.4473684210527,2020.4473684210527,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_043,GUAN_043.basePlot.bgc,39,0.2004736842105263,1.0526315789473684,1.775921052631579,1.0526315789473684,2020.3846153846155,2020.3846153846155,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_048,GUAN_048.basePlot.bgc,38,0.3844324324324324,1.027027027027027,2.626108108108108,1.027027027027027,2020.4473684210527,2020.4473684210527,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,GUAN_049,GUAN_049.basePlot.bgc,35,0.32171428571428573,1.0285714285714285,3.2322058823529414,1,2020.2571428571428,2020.2571428571428,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,GUAN,ntr_externalLab,2018-2024,GUAN,NA,GUAN,116,0.02917699115044248,1.0176991150442478,0.0781578947368421,1.0263157894736843,2020.2931034482758,2020.2931034482758,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
